Epoch: [0][4900/14161]	Batch Time 0.323 (0.326)	Data Load Time 0.031 (0.034)	Loss 3.3136 (3.8950)	Top-5 Accuracy 69.604 (63.334)
Epoch: [0][5000/14161]	Batch Time 0.331 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.7362 (3.8862)	Top-5 Accuracy 63.848 (63.447)
Epoch: [0][5100/14161]	Batch Time 0.320 (0.326)	Data Load Time 0.033 (0.034)	Loss 3.5951 (3.8781)	Top-5 Accuracy 67.521 (63.552)
Epoch: [0][5200/14161]	Batch Time 0.318 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.6108 (3.8704)	Top-5 Accuracy 67.457 (63.653)
Epoch: [0][5300/14161]	Batch Time 0.328 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.3407 (3.8628)	Top-5 Accuracy 68.860 (63.749)
Epoch: [0][5400/14161]	Batch Time 0.323 (0.326)	Data Load Time 0.030 (0.034)	Loss 3.2130 (3.8546)	Top-5 Accuracy 72.668 (63.854)
Epoch: [0][5500/14161]	Batch Time 0.328 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.5601 (3.8469)	Top-5 Accuracy 66.231 (63.950)
Epoch: [0][5600/14161]	Batch Time 0.321 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.5303 (3.8395)	Top-5 Accuracy 69.214 (64.050)
Epoch: [0][5700/14161]	Batch Time 0.344 (0.325)	Data Load Time 0.033 (0.034)	Loss 3.2382 (3.8316)	Top-5 Accuracy 71.519 (64.153)
Epoch: [0][5800/14161]	Batch Time 0.322 (0.325)	Data Load Time 0.033 (0.034)	Loss 3.5123 (3.8253)	Top-5 Accuracy 69.574 (64.232)
Epoch: [0][5900/14161]	Batch Time 0.319 (0.325)	Data Load Time 0.032 (0.034)	Loss 3.3021 (3.8188)	Top-5 Accuracy 70.460 (64.318)
Epoch: [0][6000/14161]	Batch Time 0.316 (0.325)	Data Load Time 0.032 (0.034)	Loss 3.1431 (3.8123)	Top-5 Accuracy 73.423 (64.401)
Epoch: [0][6100/14161]	Batch Time 0.313 (0.325)	Data Load Time 0.031 (0.033)	Loss 3.2017 (3.8055)	Top-5 Accuracy 72.769 (64.490)
Epoch: [0][6200/14161]	Batch Time 0.322 (0.325)	Data Load Time 0.033 (0.033)	Loss 3.4954 (3.7990)	Top-5 Accuracy 69.723 (64.574)
Epoch: [0][6300/14161]	Batch Time 0.334 (0.325)	Data Load Time 0.045 (0.033)	Loss 3.2403 (3.7929)	Top-5 Accuracy 70.961 (64.654)
Epoch: [0][6400/14161]	Batch Time 0.322 (0.325)	Data Load Time 0.033 (0.033)	Loss 3.3741 (3.7863)	Top-5 Accuracy 69.684 (64.738)
Epoch: [0][6500/14161]	Batch Time 0.333 (0.325)	Data Load Time 0.046 (0.033)	Loss 3.0642 (3.7800)	Top-5 Accuracy 73.233 (64.818)
Epoch: [0][6600/14161]	Batch Time 0.320 (0.325)	Data Load Time 0.029 (0.033)	Loss 3.2420 (3.7739)	Top-5 Accuracy 69.369 (64.895)
Epoch: [0][6700/14161]	Batch Time 0.318 (0.325)	Data Load Time 0.031 (0.033)	Loss 3.5113 (3.7680)	Top-5 Accuracy 68.922 (64.969)
Epoch: [0][6800/14161]	Batch Time 0.335 (0.325)	Data Load Time 0.029 (0.033)	Loss 3.5308 (3.7624)	Top-5 Accuracy 68.880 (65.040)
Epoch: [0][6900/14161]	Batch Time 0.312 (0.325)	Data Load Time 0.031 (0.033)	Loss 3.3385 (3.7565)	Top-5 Accuracy 69.178 (65.117)
Epoch: [0][7000/14161]	Batch Time 0.313 (0.325)	Data Load Time 0.032 (0.033)	Loss 3.7603 (3.7510)	Top-5 Accuracy 64.073 (65.192)
Epoch: [0][7100/14161]	Batch Time 0.331 (0.325)	Data Load Time 0.033 (0.033)	Loss 3.3259 (3.7454)	Top-5 Accuracy 70.897 (65.263)
Epoch: [0][7200/14161]	Batch Time 0.341 (0.325)	Data Load Time 0.032 (0.033)	Loss 3.6260 (3.7402)	Top-5 Accuracy 66.667 (65.333)
Epoch: [0][7300/14161]	Batch Time 0.327 (0.325)	Data Load Time 0.033 (0.033)	Loss 3.0588 (3.7349)	Top-5 Accuracy 72.991 (65.402)
Epoch: [0][7400/14161]	Batch Time 0.318 (0.325)	Data Load Time 0.032 (0.033)	Loss 3.1890 (3.7292)	Top-5 Accuracy 72.052 (65.475)
Epoch: [0][7500/14161]	Batch Time 0.318 (0.325)	Data Load Time 0.032 (0.033)	Loss 3.5827 (3.7236)	Top-5 Accuracy 67.955 (65.549)
Epoch: [0][7600/14161]	Batch Time 0.324 (0.325)	Data Load Time 0.030 (0.033)	Loss 3.3745 (3.7185)	Top-5 Accuracy 70.000 (65.618)
Epoch: [0][7700/14161]	Batch Time 0.328 (0.325)	Data Load Time 0.029 (0.033)	Loss 3.2155 (3.7137)	Top-5 Accuracy 71.520 (65.679)
Epoch: [0][7800/14161]	Batch Time 0.319 (0.325)	Data Load Time 0.031 (0.033)	Loss 3.2224 (3.7086)	Top-5 Accuracy 72.669 (65.747)
Epoch: [0][7900/14161]	Batch Time 0.332 (0.325)	Data Load Time 0.030 (0.033)	Loss 3.3780 (3.7034)	Top-5 Accuracy 68.200 (65.815)
Epoch: [0][8000/14161]	Batch Time 0.314 (0.324)	Data Load Time 0.028 (0.033)	Loss 3.2441 (3.6985)	Top-5 Accuracy 69.816 (65.877)
Epoch: [0][8100/14161]	Batch Time 0.315 (0.324)	Data Load Time 0.033 (0.033)	Loss 3.3300 (3.6938)	Top-5 Accuracy 69.762 (65.939)
Epoch: [0][8200/14161]	Batch Time 0.314 (0.324)	Data Load Time 0.033 (0.033)	Loss 3.1925 (3.6894)	Top-5 Accuracy 73.866 (65.994)
Epoch: [0][8300/14161]	Batch Time 0.319 (0.324)	Data Load Time 0.031 (0.033)	Loss 3.1912 (3.6842)	Top-5 Accuracy 76.180 (66.065)
Epoch: [0][8400/14161]	Batch Time 0.322 (0.324)	Data Load Time 0.029 (0.033)	Loss 3.2080 (3.6796)	Top-5 Accuracy 74.179 (66.123)
Epoch: [0][8500/14161]	Batch Time 0.316 (0.324)	Data Load Time 0.030 (0.033)	Loss 3.3693 (3.6754)	Top-5 Accuracy 71.368 (66.180)
Epoch: [0][8600/14161]	Batch Time 0.318 (0.324)	Data Load Time 0.030 (0.033)	Loss 3.3442 (3.6709)	Top-5 Accuracy 72.495 (66.242)
Epoch: [0][8700/14161]	Batch Time 0.337 (0.324)	Data Load Time 0.032 (0.033)	Loss 3.3142 (3.6666)	Top-5 Accuracy 68.902 (66.297)
Epoch: [0][8800/14161]	Batch Time 0.338 (0.324)	Data Load Time 0.031 (0.033)	Loss 3.5576 (3.6620)	Top-5 Accuracy 67.155 (66.357)
